# Iliadis et al. (2001, ApJS 134, 151), Tables 3-9: recommended reaction rates.
# Reformatted from ~/Documents/NuGrid/nuppn/bckup/NovaProject_0.2/references/iliadis2001_table03-09.dat
# (digitized from the paper's PDF tables) into ReacNetJl's per-reaction block format.
reaction: p ne20 -> na21 ; label: 20Ne(p,g)21Na ; table: 3 ; variant: standard
0.09 2.64e-11
0.1 2.61e-10
0.15 2.22e-7
0.2 6.29e-6
0.3 0.00111
0.4 0.0378
0.5 0.322
0.6 0.979
0.7 2.25
0.8 4.31
0.9 7.22
1.0 11.1
1.5 42.2
2.0 85.5
3.0 180.0
4.0 265.0
5.0 339.0
6.0 407.0
7.0 466.0
8.0 522.0
9.0 575.0
10.0 625.0
end
reaction: p al25 -> si26 ; label: 25Al(p,g)26Si ; table: 5 ; variant: standard
0.01 5.53e-36
0.015 7.17e-29
0.02 2.31e-25
0.03 6.45e-22
0.04 4.45e-20
0.05 2.03e-18
0.06 6.52e-17
0.07 1.12e-15
0.08 1.19e-14
0.09 8.72e-14
0.1 4.84e-13
0.15 3.94e-10
0.2 6.31e-7
0.3 0.00183
0.4 0.0893
0.5 0.858
0.6 3.69
0.7 10.1
0.8 19.7
0.9 33.7
1.0 52.1
1.5 204.0
2.0 419.0
3.0 884.0
4.0 1310.0
5.0 1670.0
6.0 1990.0
7.0 2280.0
8.0 2530.0
9.0 2770.0
10.0 2990.0
end
reaction: p al26 -> si27 ; label: 26Alg(p,g)27Si ; table: 5 ; variant: standard
0.01 5.78e-37
0.015 1.42e-29
0.02 5.5e-24
0.03 1.86e-18
0.04 1.09e-15
0.05 6.38e-14
0.06 1.35e-12
0.07 2.64e-11
0.08 6.27e-10
0.09 9.84e-9
0.1 9.3e-8
0.15 7.76e-5
0.2 0.00252
0.3 0.156
0.4 1.88
0.5 9.07
0.6 25.9
0.7 54.1
0.8 111.0
0.9 200.0
1.0 321.0
1.5 1470.0
2.0 3310.0
3.0 7750.0
4.0 12000.0
5.0 15700.0
6.0 19000.0
7.0 21800.0
8.0 24400.0
9.0 26700.0
10.0 28900.0
end
reaction: p al*6 -> si27 ; label: 26Alm(p,g)27Si ; table: 5 ; variant: standard
0.02 9.17e-24
0.03 2.61e-18
0.04 1.4e-15
0.05 7.78e-14
0.06 1.59e-12
0.07 3.11e-11
0.08 7.52e-10
0.09 1.19e-8
0.1 1.12e-7
0.15 9.86e-5
0.2 0.00355
0.3 0.279
0.4 4.14
end
reaction: p al27 -> si28 ; label: 27Al(p,g)28Si ; table: 5 ; variant: standard
0.01 6.87e-37
0.015 4.74e-31
0.02 3.5e-26
0.03 2.62e-20
0.04 3.01e-17
0.05 2.29e-15
0.06 4.82e-14
0.07 1.6e-12
0.08 6.73e-11
0.09 1.41e-9
0.1 1.65e-8
0.15 2.51e-5
0.2 0.000962
0.3 0.0425
0.4 0.396
0.5 2.08
0.6 7.7
0.7 21.8
0.8 50.6
0.9 100.0
1.0 179.0
1.5 1120.0
2.0 3040.0
3.0 8900.0
4.0 15400.0
5.0 20700.0
6.0 26300.0
7.0 31100.0
8.0 35000.0
9.0 36600.0
10.0 37100.0
end
reaction: p al27 -> he4 mg24 ; label: 27Al(p,a)24Mg ; table: 5 ; variant: standard
0.01 2.65e-40
0.015 1.87e-31
0.02 1.29e-25
0.03 7.85e-20
0.04 6.08e-17
0.05 3.39e-15
0.06 5.03e-14
0.07 3.48e-13
0.08 1.59e-12
0.09 7.03e-12
0.1 3.79e-11
0.15 2.76e-8
0.2 8.88e-7
0.3 0.000694
