H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      804 dzeit  2.93E-07 agej  1.2827E-04
 # t9 =    1.750E-01 rho =    4.528E+01
 # densn  8.14804E+08
 # densp  1.24756E+23
 # densa  3.33546E+24
 # total_energy_flux_[erg/(g*s)]  2.30147E+16
  396    45. 102.   1   7.69445E-24  RH102
  397    45. 103.   1   5.21156E-10  RH103
  398    45. 104.   1   5.74405E-15  RH104
  399    45. 105.   1   4.51828E-14  RH105
  400    45. 106.   1   2.70975E-19  RH106
  401    45. 107.   1   1.16766E-21  RH107
  402    45. 108.   1   4.40867E-26  RH108
  403    46.  99.   1   1.00000E-99  PD 99
  404    46. 100.   1   1.00000E-99  PD100
  405    46. 101.   1   1.00000E-99  PD101
  406    46. 102.   1   2.09706E-11  PD102
  407    46. 103.   1   1.13977E-14  PD103
  408    46. 104.   1   2.34167E-10  PD104
  409    46. 105.   1   4.72198E-10  PD105
  410    46. 106.   1   5.84766E-10  PD106
  411    46. 107.   1   2.38656E-13  PD107
  412    46. 108.   1   5.76134E-10  PD108
  413    46. 109.   1   1.77572E-13  PD109
  414    46. 110.   1   2.59931E-10  PD110
  415    46. 111.   1   1.24095E-14  PD111
  416    46. 112.   1   3.42758E-17  PD112
  417    47. 101.   1   1.00000E-99  AG101
  418    47. 102.   1   1.00000E-99  AG102
  419    47. 103.   1   3.41370E-26  AG103
  420    47. 104.   1   1.00000E-99  AG104
  421    47. 105.   1   3.79517E-25  AG105
  422    47. 106.   1   1.01295E-26  AG106
  423    47. 107.   1   3.87466E-10  AG107
  424    47. 108.   1   1.03680E-14  AG108
  425    47. 109.   1   3.66703E-10  AG109
  426    47. 110.   1   4.60018E-15  AG110
  427    47. 111.   1   5.33902E-14  AG111
  428    47. 112.   1   3.34802E-19  AG112
  429    47. 113.   1   8.95623E-22  AG113
  430    48. 102.   1   1.00000E-99  CD102
  431    48. 103.   1   1.00000E-99  CD103
  432    48. 104.   1   1.00000E-99  CD104
  433    48. 105.   1   1.00000E-99  CD105
  434    48. 106.   1   3.13813E-11  CD106
  435    48. 107.   1   1.36652E-14  CD107
  436    48. 108.   1   2.31601E-11  CD108
  437    48. 109.   1   7.19580E-15  CD109
  438    48. 110.   1   3.25801E-10  CD110
  439    48. 111.   1   3.36434E-10  CD111
  440    48. 112.   1   6.40501E-10  CD112
  441    48. 113.   1   3.27080E-10  CD113
  442    48. 114.   1   7.76188E-10  CD114
  443    48. 115.   1   1.64080E-13  CD115
  444    48. 116.   1   2.05842E-10  CD116
  445    48. 117.   1   1.84862E-14  CD117
  446    48. 118.   1   3.85655E-18  CD118
  447    49. 106.   1   1.00000E-99  IN106
  448    49. 107.   1   1.00000E-99  IN107
  449    49. 108.   1   1.00000E-99  IN108
  450    49. 109.   1   1.00000E-99  IN109
  451    49. 110.   1   1.00000E-99  IN110
  452    49. 111.   1   4.67319E-26  IN111
  453    49. 112.   1   5.35149E-26  IN112
  454    49. 113.   1   1.28650E-11  IN113
  455    49. 114.   1   2.11444E-16  IN114
  456    49. 115.   1   2.92333E-10  IN115
  457    49. 116.   1   8.14750E-16  IN116
  458    49. 117.   1   3.75281E-15  IN117
  459    49. 118.   1   4.96487E-19  IN118
  460    49. 119.   1   1.40453E-22  IN119
  461    50. 108.   1   1.00000E-99  SN108
